run,subrun,event,x,y,z
5121,26,1319,113.163,0.0,588.9
5125,3,165,183.646,0.0,617.1
5125,3,182,11.7008,0.0,495.3
5125,4,250,2.173,0.0,526.5
5127,7,362,-3.45451,0.0,202.2
5127,16,833,260.649,0.0,937.2
5136,37,1863,100.348,0.0,766.2
5139,3,155,222.872,0.0,207
5139,60,3006,68.6445,0.0,613.5
5142,31,1572,113.163,0.0,974.1
5142,31,1596,37.8882,0.0,631.5
5151,88,4412,104.081,0.0,522.6
5151,188,9414,245.549,0.0,642.6
5151,218,10921,68.9788,0.0,971.4
5153,103,5159,150.494,0.0,78
5154,182,9114,177.239,0.0,550.5
5154,193,9653,150.438,0.0,596.4
5157,71,3572,186.878,0.0,532.8
5160,8,420,264.437,0.0,388.5
5164,3,161,128.486,0.0,958.2
5164,24,1216,2.39587,0.0,536.4
5164,29,1476,175.902,0.0,936.6
5167,18,924,187.825,0.0,624
5167,29,1469,252.737,0.0,962.7
5169,130,6546,-3.23164,0.0,161.4
5170,5,257,107.257,0.0,173.1
5177,15,777,152.5,0.0,954
5177,33,1687,53.8235,0.0,173.4
5177,44,2248,51.9291,0.0,225.6
5177,45,2252,172.057,0.0,956.7
5177,47,2391,20.7271,0.0,471.3
5179,175,8753,48.0846,0.0,905.7
5179,176,8825,138.459,0.0,687.9
5179,208,10410,60.3425,0.0,589.2
5185,53,2668,215.35,0.0,195.3
5187,49,2482,235.074,0.0,986.4
5187,169,8467,254.854,0.0,646.2
5201,123,6188,191.391,0.0,618.3
5201,126,6336,181.585,0.0,788.1
5203,18,926,91.5446,0.0,598.2
5203,19,958,71.3747,0.0,392.1
5203,97,4857,153.949,0.0,686.7
5204,17,896,207.494,0.0,743.4
5204,21,1062,13.5952,0.0,645.9
5205,13,662,92.3803,0.0,490.8
5205,21,1074,54.2693,0.0,322.2
5211,54,2711,179.412,0.0,987.3
5215,6,331,98.9551,0.0,849.9
5215,8,432,106.811,0.0,991.5
5215,10,505,207.716,0.0,160.8
5215,10,525,169.828,0.0,492.3
5215,11,576,264.382,0.0,605.4
5215,13,659,72.2105,0.0,131.1
5216,4,235,264.047,0.0,600.3
5216,62,3134,91.0431,0.0,449.1
5216,63,3196,221.312,0.0,564.9
5217,42,2111,252.291,0.0,593.4
5217,60,3028,243.32,0.0,570.6
5222,0,23,164.256,0.0,757.5
5222,5,264,173.394,0.0,613.5
5222,31,1577,233.848,0.0,302.1
5222,32,1635,144.365,0.0,420.9
5222,33,1659,102.465,0.0,332.4
5222,34,1732,189.552,0.0,801
5227,44,2213,202.256,0.0,911.7
5229,51,2568,160.523,0.0,564
5229,64,3230,49.5333,0.0,501.6
5233,38,1906,120.462,0.0,984.3
5235,3,165,52.3191,0.0,787.2
5240,18,938,270.176,0.0,498.3
5262,70,3533,50.8705,0.0,153.9
5262,71,3573,18.7769,0.0,776.4
5262,73,3667,6.74187,0.0,168.6
5262,139,6974,227.496,0.0,651
5262,172,8614,211.951,0.0,970.5
5265,3,179,14.4867,0.0,549.9
5265,7,358,124.028,0.0,194.1
5265,56,2844,196.963,0.0,199.2
5265,58,2945,91.2103,0.0,637.8
5265,100,5040,108.706,0.0,591.6
5272,27,1354,170.497,0.0,680.4
5272,30,1507,30.3663,0.0,774.9
5273,7,353,12.9266,0.0,847.8
5273,7,394,99.5122,0.0,747.9
5273,8,448,14.3752,0.0,262.5
5273,9,485,251.622,0.0,784.2
5273,104,5247,262.933,0.0,618.9
5278,7,373,147.764,0.0,988.8
5278,70,3517,147.151,0.0,854.7
5278,71,3585,178.743,0.0,907.8
5279,8,403,234.183,0.0,575.4
5279,20,1022,57.2223,0.0,522.9
5281,35,1778,30.6449,0.0,886.8
5318,17,877,197.242,0.0,477
5318,19,972,24.8502,0.0,479.7
5320,0,28,153.782,0.0,173.1
5320,4,212,85.1927,0.0,563.1
5321,3,188,16.2696,0.0,584.4
5327,3,161,249.951,0.0,985.5
5330,28,1414,216.631,0.0,755.7
5332,101,5089,4.56887,0.0,274.2
5332,144,7218,210.447,0.0,202.2
5337,61,3075,162.864,0.0,927.3
5337,62,3121,25.0174,0.0,852.6
5337,63,3165,4.56887,0.0,180
5337,210,10515,205.878,0.0,189.3
5339,81,4077,257.584,0.0,205.5
5340,90,4507,174.119,0.0,490.2
5343,5,268,168.937,0.0,209.4
5345,2,134,153.057,0.0,209.1
5345,3,171,260.259,0.0,982.5
5351,23,1170,259.033,0.0,550.5
5361,93,4674,242.93,0.0,759.9
5361,94,4734,196.851,0.0,576.9
5361,107,5393,136.62,0.0,628.2
5361,157,7851,123.805,0.0,590.1
5361,221,11094,160.635,0.0,771
5361,223,11162,273.742,0.0,528.9
5364,204,10220,46.6916,0.0,549.6
5364,206,10317,274.077,0.0,629.7
5364,207,10352,187.658,0.0,680.1
5370,24,1214,211.282,0.0,677.7
5370,76,3838,160.523,0.0,482.7
5382,142,7108,205.209,0.0,38.4
5382,142,7128,228.165,0.0,598.2
5382,145,7270,17.4954,0.0,975.9
5382,194,9734,272.349,0.0,505.8
5385,90,4550,66.6944,0.0,792.3
5385,91,4583,235.13,0.0,495.6
5385,91,4593,242.986,0.0,600.9
5385,93,4694,74.2163,0.0,534.6
5385,151,7574,253.238,0.0,939.6
5385,153,7700,-4.23456,0.0,586.8
5386,53,2680,145.257,0.0,549.3
5397,125,6269,5.07033,0.0,322.5
5397,125,6285,174.62,0.0,438.9
5397,126,6334,203.649,0.0,220.2
5397,126,6341,226.549,0.0,495
5401,31,1562,178.186,0.0,636.9
5404,71,3560,2.67446,0.0,479.7
5404,74,3741,0.111436,0.0,971.7
5408,12,619,131.773,0.0,436.8
5408,21,1085,253.851,0.0,629.1
5408,22,1107,83.1312,0.0,551.4
5408,23,1200,0.724333,0.0,592.2
5410,50,2503,242.986,0.0,550.8
5410,64,3206,108.817,0.0,472.8
5411,49,2500,19.5013,0.0,225.3
5418,23,1191,6.96474,0.0,177.6
5418,149,7452,219.64,0.0,623.4
5427,8,442,235.854,0.0,909.6
5433,38,1921,55.3279,0.0,155.4
5436,21,1065,14.4867,0.0,630.3
5436,21,1070,83.2426,0.0,155.7
5436,23,1193,47.7503,0.0,444.9
5436,52,2626,-2.00585,0.0,595.8
5436,53,2655,4.45744,0.0,456.3
5436,81,4080,151.887,0.0,469.2
5437,133,6688,24.6273,0.0,444.3
5437,134,6737,20.2256,0.0,673.2
5437,195,9782,53.8235,0.0,338.7
5437,197,9885,241.649,0.0,460.5
5441,22,1128,138.292,0.0,578.4
5442,1,62,193.341,0.0,921
5442,3,156,41.8442,0.0,534.9
5445,0,26,149.77,0.0,576.6
5454,59,2999,269.006,0.0,932.1
5454,178,8922,203.259,0.0,544.5
5454,198,9919,109.932,0.0,547.2
5455,79,3966,115.058,0.0,549.6
5455,81,4080,218.916,0.0,219
5458,115,5763,43.7943,0.0,917.1
5462,1,98,130.436,0.0,642.3
5462,65,3282,251.455,0.0,910.8
5462,66,3338,197.966,0.0,970.8
5462,68,3437,198.857,0.0,949.8
5462,71,3562,124.362,0.0,964.8
5462,72,3621,191.057,0.0,507.3
5463,15,796,248.836,0.0,532.5
5465,5,279,-0.668615,0.0,931.2
5465,5,289,-6.29613,0.0,630.9
5470,16,819,-5.18177,0.0,472.2
5474,50,2502,189.107,0.0,680.1
5474,50,2544,224.32,0.0,938.7
5480,26,1322,132.609,0.0,165.9
5480,26,1341,196.016,0.0,952.8
5480,28,1450,29.9205,0.0,968.1
5485,26,1311,37.2753,0.0,533.4
5485,27,1362,126.034,0.0,843.9
5485,29,1469,236.021,0.0,158.4
5499,97,4887,50.4805,0.0,526.5
5500,10,541,236.133,0.0,461.1
5500,13,694,106.867,0.0,614.1
5501,30,1501,43.5714,0.0,609.9
5501,31,1592,197.91,0.0,151.2
5501,34,1722,22.7329,0.0,476.7
5505,0,34,119.961,0.0,912.9
5505,1,53,53.1549,0.0,486.3
5506,26,1342,259.701,0.0,570.3
5506,27,1360,220.03,0.0,652.2
5506,27,1366,218.08,0.0,921
5508,60,3026,242.819,0.0,927.3
5508,61,3072,132.999,0.0,531
5509,45,2300,0.111436,0.0,198.3
5509,47,2370,58.7267,0.0,865.8
5509,48,2447,232.622,0.0,380.1
5511,11,570,31.4806,0.0,564
5511,11,575,16.7711,0.0,885.3
5512,132,6611,104.805,0.0,992.4
5512,203,10172,205.209,0.0,776.1
5512,204,10237,255.355,0.0,994.2
5513,44,2240,66.2486,0.0,941.7
5513,45,2275,18.5541,0.0,642.3
5515,63,3155,218.303,0.0,907.5
5518,19,977,150.884,0.0,537.9
5519,110,5541,206.602,0.0,358.5
5522,11,571,258.308,0.0,759.9
5522,12,640,206.212,0.0,524.7
5525,27,1380,110.823,0.0,216.6
